PassengerId,Survived
892,0.07081267615119616
893,0.18902669694850918
894,0.04501238586010117
895,0.12015869319222133
896,0.41586118761221624
897,0.14794155641801046
898,0.5789439193211561
899,0.1711563947899395
900,0.7249457936911091
901,0.05645478886444779
902,0.09221813942483116
903,0.28221556010780513
904,0.9683916337366204
905,0.0719356101455357
906,0.9598840535965409
907,0.895642650227462
908,0.0888437060141621
909,0.09334394153248496
910,0.32445910159540914
911,0.32490523133410004
912,0.42190919478791616
913,0.21497843929295024
914,0.9217292605354552
915,0.40267786857087035
916,0.9450613134407728
917,0.06276459806604667
918,0.9710240435537385
919,0.13897184637084875
920,0.3606577320510073
921,0.12684507692671826
922,0.1321723013657172
923,0.14763434220646462
924,0.24891653899586444
925,0.19815035000178344
926,0.49594211753893025
927,0.08709816529398938
928,0.5275434395846831
929,0.37343892629477105
930,0.12245856299317125
931,0.25419857401420665
932,0.12458449119989225
933,0.2175278279893967
934,0.04621699504220045
935,0.8169553041473832
936,0.9589038749661329
937,0.0861092148888656
938,0.48448329844025106
939,0.07216487156080983
940,0.9690715047664644
941,0.4648374783502575
942,0.4039962304302722
943,0.1815455810498362
944,0.8818271997884605
945,0.9621778988545655
946,0.229283987770148
947,0.045203929526339476
948,0.06822341461230912
949,0.24663797866048853
950,0.14058240505570882
951,0.9821097274959505
952,0.10160105640019644
953,0.0588089389645713
954,0.0659629087390284
955,0.6067794738660284
956,0.8017752270104787
957,0.8530018944878132
958,0.6696476075272864
959,0.3850227458232227
960,0.3429305125854327
961,0.9103356092284995
962,0.5849194804741255
963,0.10488705292653
964,0.32007643599068764
965,0.6006649673876435
966,0.9837931819859399
967,0.38158872086265067
968,0.03738937107674169
969,0.8848826907729597
970,0.12342297931838098
971,0.5163506362413604
972,0.5874312313480594
973,0.22576649111730998
974,0.3803511361291178
975,0.053402702783085856
976,0.1780636677015903
977,0.1521337351224587
978,0.5537752358910408
979,0.5437711528152849
980,0.7050496578338002
981,0.6736719370648079
982,0.39961525716739066
983,0.04385648521861602
984,0.9494001700874017
985,0.06684541393042383
986,0.5641256004501269
987,0.08402334718555482
988,0.9429605733117329
989,0.08826628913291551
990,0.5518896558186813
991,0.08110995139050967
992,0.9804459489279035
